epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2899.79,0.50251,0.61599,1.13462,0.8513,0.62931,0.76686,0.67219,0.81307,1.10794,1.34869,0.0005941,0.0005941,0.0005941
43,2969.16,0.49563,0.57852,1.13024,0.87702,0.64802,0.78398,0.71679,0.77285,1.04623,1.30643,0.0005842,0.0005842,0.0005842
44,3037.88,0.49689,0.58782,1.12214,0.81968,0.63809,0.76196,0.67544,0.8548,1.12968,1.36077,0.0005743,0.0005743,0.0005743
45,3098.91,0.5024,0.57729,1.1224,0.87996,0.57474,0.74437,0.67405,0.79352,1.13655,1.33041,0.0005644,0.0005644,0.0005644
46,3160.39,0.49973,0.57902,1.12275,0.86095,0.64789,0.78464,0.70345,0.75914,0.95416,1.28822,0.0005545,0.0005545,0.0005545
47,3222.01,0.48985,0.56635,1.11643,0.86491,0.64697,0.78186,0.70122,0.76539,1.02241,1.30062,0.0005446,0.0005446,0.0005446
48,3283.52,0.48117,0.55764,1.11821,0.84398,0.64822,0.77042,0.68345,0.79062,1.04624,1.33323,0.0005347,0.0005347,0.0005347
49,3345.05,0.49448,0.57578,1.1277,0.8531,0.65373,0.77824,0.69959,0.78044,1.02503,1.31419,0.0005248,0.0005248,0.0005248
50,3406.57,0.47872,0.55958,1.10484,0.84911,0.64556,0.77314,0.69777,0.75669,1.02353,1.30574,0.0005149,0.0005149,0.0005149
51,3468.04,0.48002,0.58015,1.11769,0.84116,0.62012,0.75308,0.67649,0.76437,1.11463,1.30181,0.000505,0.000505,0.000505
52,3529.66,0.48474,0.55341,1.11149,0.88721,0.63171,0.77592,0.70686,0.75273,1.04377,1.28895,0.0004951,0.0004951,0.0004951
53,3591.3,0.48164,0.55243,1.10924,0.81869,0.63937,0.76123,0.6479,0.83339,1.14863,1.36234,0.0004852,0.0004852,0.0004852
