epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2705.9,0.45922,0.76204,1.11379,0.82948,0.64032,0.74349,0.61578,0.66906,0.96705,1.1945,0.000990365,0.000990365,0.000990365
43,2772.06,0.45782,0.73747,1.11599,0.81249,0.62173,0.7306,0.62852,0.63068,0.99563,1.16294,0.000973861,0.000973861,0.000973861
44,2838.48,0.44904,0.73193,1.09961,0.84338,0.64496,0.76127,0.65212,0.61165,0.89633,1.14723,0.000957358,0.000957358,0.000957358
45,2904.83,0.46019,0.72797,1.10262,0.86819,0.63128,0.76267,0.65209,0.62893,0.88015,1.15367,0.000940855,0.000940855,0.000940855
46,2971.21,0.45481,0.72412,1.0986,0.83681,0.65221,0.76802,0.65642,0.62278,0.8867,1.15253,0.000924352,0.000924352,0.000924352
47,3037.23,0.44856,0.70546,1.0968,0.79306,0.66169,0.75622,0.64696,0.60743,0.89872,1.13993,0.000907848,0.000907848,0.000907848
48,3103.1,0.43739,0.696,1.0944,0.84895,0.65181,0.75586,0.64504,0.61433,0.94854,1.15984,0.000891345,0.000891345,0.000891345
49,3169.13,0.44663,0.70501,1.10382,0.85324,0.64283,0.76066,0.65994,0.63211,0.93746,1.17048,0.000874842,0.000874842,0.000874842
50,3235.61,0.43074,0.67453,1.09078,0.85285,0.64366,0.76792,0.66199,0.58346,0.8773,1.1304,0.000858338,0.000858338,0.000858338
51,3301.86,0.43587,0.6948,1.09847,0.8127,0.66278,0.75312,0.64385,0.63474,0.93441,1.1546,0.000841835,0.000841835,0.000841835
52,3367.67,0.44055,0.67685,1.08755,0.85436,0.65367,0.7689,0.65872,0.61462,0.87689,1.14617,0.000825332,0.000825332,0.000825332
53,3434.12,0.43837,0.67125,1.08976,0.83366,0.66914,0.77239,0.65952,0.61801,0.87346,1.16905,0.000808828,0.000808828,0.000808828
54,3499.83,0.42759,0.65738,1.08962,0.82914,0.69161,0.77934,0.66709,0.5915,0.85233,1.13849,0.000792325,0.000792325,0.000792325
55,3563.86,0.42954,0.65529,1.08689,0.81125,0.68559,0.77547,0.65881,0.62062,0.85721,1.15577,0.000775822,0.000775822,0.000775822
56,3629.3,0.42671,0.65518,1.07846,0.85095,0.6575,0.7679,0.66141,0.61497,0.86032,1.15811,0.000759318,0.000759318,0.000759318
57,3692.64,0.41401,0.64682,1.07234,0.79641,0.6764,0.7606,0.64931,0.63254,0.927,1.16475,0.000742815,0.000742815,0.000742815
58,3759.42,0.42015,0.64509,1.07535,0.81728,0.67975,0.77618,0.66092,0.6054,0.86923,1.15767,0.000726312,0.000726312,0.000726312
59,3825.63,0.40779,0.62382,1.07036,0.81523,0.69303,0.77397,0.6654,0.58973,0.84067,1.13909,0.000709809,0.000709809,0.000709809
60,3892.19,0.4054,0.62378,1.06663,0.80484,0.65725,0.75935,0.6497,0.59838,0.87276,1.15106,0.000693305,0.000693305,0.000693305
61,3958.81,0.41355,0.62383,1.07753,0.80486,0.67819,0.76432,0.64935,0.62184,0.89575,1.16385,0.000676802,0.000676802,0.000676802
62,4025.89,0.39913,0.6046,1.06397,0.84632,0.67304,0.78262,0.67106,0.597,0.83558,1.14842,0.000660299,0.000660299,0.000660299
63,4092.44,0.39045,0.59322,1.05418,0.84482,0.66748,0.76366,0.66099,0.60839,0.90143,1.14956,0.000643795,0.000643795,0.000643795
64,4158.91,0.39516,0.60005,1.05667,0.79293,0.6894,0.77528,0.65626,0.62095,0.88074,1.16776,0.000627292,0.000627292,0.000627292
65,4225.5,0.38867,0.58396,1.05091,0.85679,0.6602,0.7819,0.66238,0.598,0.87924,1.15167,0.000610789,0.000610789,0.000610789
66,4291.94,0.39814,0.57417,1.06205,0.83549,0.68857,0.78231,0.66358,0.58531,0.86303,1.13799,0.000594286,0.000594286,0.000594286
67,4358.6,0.38681,0.58292,1.05598,0.83187,0.67694,0.77907,0.67108,0.60316,0.85585,1.14922,0.000577782,0.000577782,0.000577782
